,text,normed_text
360,PTTH Le Qui Don,Trường THPT Lê Quý Đôn
361,Australian Technical and Management College,Australian Technical and Management College
362,Westbourne Grammar School,Westbourne Grammar School
363,THPT  Tiên Lãng - Hải Phòng,Trường THPT Tiên Lãng
364,Trường THCS Lê Tấn Bê,Trường THCS Lê Tấn Bê
365,Đại học Xây dựng GD,Trường Đại Học Xây Dựng
366,Trung học phổ thông Thái Phiên,Trường THPT Thái Phiên
367,Cao đẳng Hàng Hải,Trường Cao Đẳng Hàng Hải I
368,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
369,Korah Collegiate And Vocational School,Korah Collegiate & Vocational School
370,Trường Thpt Lam Kinh,Trường THPT Lam Kinh
371,THPT Hòa Bình-Chi Lăng-Lạng Sơn,Trường THPT Hòa Bình
372,"Trường THCS Đan Hội, Lục Nam,Bắc Giang",TRƯỜNG THCS ĐAN HỘI
373,Trường Cao Đẳng Dược Trung Ương Hải Dương,Cao Đẳng Dược Trung Ương Hải Dương
374,"Khoa Tài chính- Ngân hàng, viện Đại Học Mở Hà Nội",Trường Đại học Mở Hà Nội
375,Đoàn Thượng - Trường Trung Học Đoàn Thượng,Trường THPT Đoàn Thượng
376,THPT Nguyễn Bỉnh Khiêm - Hải Dương,Trường THPT Nguyễn Văn Cừ Cs3
377,utehy,Trường Đại học Sư Phạm Kỹ Thuật Hưng Yên cơ sở Hải Dương
378,THPT Tứ Kỳ,Trường THPT Tứ Kỳ
379,Trường THPT Lê Chân,Trường THPT Lê Chân
380,THPT Thanh Miện,Trường THPT Thanh Miện
381,THPT TƯƠNG DƯƠNG 2,Trường Thpt Tương Dương 2
382,Hai Phong Marie Curie High School,Trường PTTH tư thục Marie Curie
383,Trường Thpt Tống Văn Trân,Trường THPT Tống Văn Trân
384,"Trường THPT Mai Sơn, Sơn La.",Trường THPT Mai Sơn
385,THPT Hàng Hải,Trường THPT Hàng Hải
386,Trường THPT Đoàn Thượng,Trường THPT Đoàn Thượng
387,Viện Thánh kinh Thần học,Viện Thánh Kinh Thần Học
388,thcs le tu thanh,Trường THCS Lê Tư Thành
389,Tài Chính Kế Toán Bình Dương,Trường Trung Cấp Tài Chính Kế Toán Bình Dương
390,THPT Quang Thành,Trường THPT Quang Thành
391,THCS Tu Lac,Trường Thcs Tử Lạc
392,Trung Học Phổ Thông Đông Tiền Hải,Trường THPT Đông Tiền Hải
393,THPT Chợ Đồn,Trường THPT Chợ Đồn
394,THPT NDQ,Trường THPT Nam Đông Quan
395,Truong THCS Hop Tien,Trường THCS Hợp Tiến
396,THPT Bắc Đông Quan- Đông Hưng- Thái Bình,Trường THPT Bắc Đông Quan
397,THPT Nam Đông Quan Thái Bình,Trường THPT Nam Đông Quan
398,THPT Phú Bình - Thái Nguyên,Trường THPT Phú Bình
399,Truong THPT Nguyen Dang Dao,Trường THPT Nguyễn Đăng Đạo
400,Trường THPT Tam Đảo,Trường Thpt Tam Đảo
401,Trường Đại Học Y Dược TPHCM - Khoa Dược,Khoa Dược - Đại học Y Dược TP.HCM
402,Trường thpt Bắc Đông Quan,Trường THPT Bắc Đông Quan
403,THPT Thành Đông,Trường THPT Thành Đông
404,Truong THPT Duong An,Trường THPT Đường An
405,THCS An Lễ,Trường THCS An Lễ
406,THCS Tô Hiệu,Trường THCS Tô Hiệu
407,Trường THCS Tô Hiệu,Trường THCS Tô Hiệu
408,Trường THPT Yên Phong 2,Trường THPT Yên Phong 2
409,THPT Chuyên Bắc Ninh,Trường THPT Chuyên Bắc Ninh
410,thcs bái tử long,Trường Thcs Bái Tử Long
411,Trường THPT Lương Tài 2 - Bắc Ninh,Trường THPT Lương Tài số 2
412,THPT Đống Đa,Trường THPT Đống Đa
413,THTP An Hải,Trường Tư Thục THPT An Hải
414,THPT A Phủ Lý,Trường THPT A Phủ Lý
415,THPT Phạm Ngũ Lão-Thuỷ Nguyên-Hải Phòng,Trường THPT Phạm Ngũ Lão
416,Trường Cao Đẳng Nghề Số 8 - Bộ Quốc Phòng,Trường Cao Đẳng Nghề Số 8 Bộ Quốc Phòng
417,Trường THCS Thanh Liệt,Trường THCS Thanh Liệt
418,Trường THCS Thanh Liệt,Trường THCS Thanh Liệt
419,CĐ nghề Bách Nghệ Hải Phòng,Trường Cao đẳng Bách nghệ Hải Phòng
420,THPT Hàn Thuyên-Hàn Thuyên High School,Trường THPT Hàn Thuyên
421,Trường THCS Tân Phước,Trường THCS Tân Phước
422,Unitec New Zealand,"Unitec Institute of Technology, Mt Albert Campus Map"
423,TRUONG DAI HOC CONG NGHIEP QUANG NINH,Trường Đại học Công nghiệp Quảng Ninh
424,THPT YênPhong 1,Trường THPT Yên Phong số 1
425,THCS Lê Quý Đôn Tuyên Quang,Trường THCS Lê Qúy Đôn
426,THPT Chuyên Tuyên Quang,Trường THPT Chuyên Tuyên Quang
427,THPT Le Quy Don thai binh,Trường THPT Lê Quý Đôn
428,Học viện Bóng đá NutiFood JMG,Học viện bóng đá NutiFood-JMG
429,THCS Đoàn Kết,Trường THCS Đoàn Kết
430,THPT Dân Lập 25/10 Hải Phòng,Trường THPT Dân Lập 25 - 10
431,THPT DAN LAP 25 - 10 THUY NGUYEN HP,Trường THPT Dân Lập 25 - 10
432,THPT le lợi plây cu gia lai,Trường THPT Lê Lợi
433,Trường Trung học phổ thông Phả Lại,Trường THPT Phả Lại
434,Trường Cao đẳng nghề Thủy sản miền Bắc,Trường Cao Đẳng Nghề Thủy Sản Miền Bắc
435,Trường THPT Kiên Lương,Trường THPT Kiên Lương
436,Hoc Vien Am Nhac TP HCM,Nhạc Viện Thành Phố Hồ Chí Minh
437,thcs hop duc,Trường THCS Đức Hợp
438,Truong cao dang kinh te ki thuat Phu Lam,Trường Cao đẳng Kinh tế - Kỹ thuật Thương mại
439,Dai Hoc su Pham Ky Thuat TPHCM,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh
440,Trường Trung Học Phổ Thông Nam Tiền Hải - Thái Bình,Trường THPT Nam Tiền Hải
441,Trung Cấp Y Dược Tuệ Tĩnh Hà Nội,Trường Trung cấp Y Dược Tuệ Tĩnh Hà Nội
442,Trường Trung Học Phổ Thông Gò công,Trường THPT Gò Công
443,Cao Đẳng Nghề Hàng Hải,Trường Cao đẳng Hàng hải II
444,Đại Học Xây Dựng Hà Nội,Trường Đại Học Xây Dựng
445,Trường THPT số 1 Mường khương,Trường THPT Số 1 Mường Khương
446,Trường THPT Lê Văn Thịnh,Trường THPT Lê Văn Thịnh
447,thpt vinh bao,Trường THPT Vĩnh Bảo
448,thpt tran tat van,Trường THPT Trần Tất Văn
449,TTGDTX Đông Mỹ,TTGDTX Đông Mỹ
450,Trường THCS Phong Huy Lĩnh,Trường THCS Phong Huy Lĩnh
451,truong trung hoc co so phu xuan,Trường THCS Phú Xuân
452,Trường THPT Kiến An - Hải Phòng,Trường Trung học phổ thông Kiến An
453,thanh ha,Thanh Hà
454,"Hanoi Open University, Vietnam",Trường Đại học Mở Hà Nội
455,Trung học phổ thông Yên Phong số 1,Trường THPT Yên Phong số 1
456,thpt an lao,Trường THPT An Lão
457,THCS Thi Tran Cai Rong,Trường THCS thị trấn Cái Rồng
458,Trường THPT Bắc Duyên Hà,Trường THPT Bắc Duyên Hà
459,"THPT Nguyễn Đăng Đạo, Bắc Ninh",Trường THPT Nguyễn Đăng Đạo
460,trung hoc co so thi tran hung ha,Trường THCS Thị Trấn Hưng Hà
461,Trường THCS Nam Bình,Trường THCS Nam Bình
462,THCS Lê Danh Phương- Hưng Hà- Thái Bình,Trường Thcs Lê Danh Phương
463,Trường Cao đẳng Cộng Đồng Hà Nội,Trường Cao đẳng Cộng đồng Hà Nội
464,thcs nguyễn lương bằng,Trường THCS Nguyễn Lương Bằng
465,Trường Trung Học Cơ Sở Liên Mạc B,Trường THCS Liên mạc B
466,Trường THCS Lê Văn Tám,Trường THCS Lê Văn Tám
467,TRƯỜNG THPT PHÚ HƯNG,Trường THPT Phú Hưng
468,Trường THCS An Đồng,Trường THCS An Đồng
469,trung cap nghe bac giang,Trường Trung Cấp Nghề Số 1 Bắc Giang
470,Trường Trung Cấp Y Tế Bắc Giang,Trường Trung Cấp Y Tế Bắc Giang
471,THPT VIỆT NAM BA LAN,Trường THPT Việt Nam Ba Lan
472,"Trường THPT Thanh Hà, Hải Dương",Trường THPT Thanh Hà
473,TPTTH Tien lang hai phong,Trường THPT Tiên Lãng
474,Trường THPT Bắc Sơn,Trường THPT Bắc Sơn
475,"THPT HOANG HOA THAM, PLEIKU, GIALAI",Trường THPT Hoàng Hoa Thám
476,Bệnh viện Quân y 5,Viện Quân Y 5
477,Cao Đẳng cộng đồng Hải Phòng,Hai Phong Community College (HPCC)
478,Trường THCS Mỹ Quý,Trường THCS Mỹ Quý
479,Trường Trung Học Phổ Thông Thái Phúc-Thái Thụy-Thái Bình,Trường THPT Thái Phúc
480,thpt gia binh so 2 ( LE VAN THINH),Trường THPT Lê Văn Thịnh
481,Trường THCS Hoàng Diệu - TP Thái Bình,Trường Thcs Hoàng Diệu
482,THCS Lê Hồng Phong - Hải Dương,Trường Trung Học Cơ Sở Lê Hồng Phong
483,Trường THPT Lê Quý Đôn-TP.Thái Bình,Trường THPT Lê Quý Đôn
484,THCS Đông Hòa,Trường THCS Đông Hòa
485,THPT Nội Trú Đồ Sơn,Trường THPT Nội Trú Đồ Sơn
486,PTTH Ke Sat,Trường THPT Kẻ Sặt
487,Đại học GTVT TpHCM,Trường Đại học Giao thông vận tải TP.Hồ Chí Minh
488,Trường THPT Bắc Yên Thành- Yên Thành- Nghệ An,Trường THPT Bắc Yên Thành
489,THPT Lê Quý Đôn - Cát Bi -Hải Phòng,Trường THPT Lê Quý Đôn
490,THCS Văn Yên Văn Quán Hà Đông,Trường THCS Văn Yên Hà Đông
491,DH Bach Khoa Ha Noi,Trường Đại học Bách khoa Hà Nội
492,Trường Đại Học Y Dược Thái Bình,Đại Học Y Dược Thái Bình
493,THPT chuyên Nguyễn Trãi - Nguyen Trai High School in Hai Duong city,Trường Trung học phổ thông chuyên Nguyễn Trãi
494,THCS Lê Qúy Đôn - Le Quy Don Middle School in Hai Duong city,Trường THCS Lê Quý Đôn
495,Trung Tâm Bồi Dưỡng Năng Khiếu Âm Nhạc Style Of Music,Trung Tâm Bồi Dưỡng Năng Khiếu Âm Nhạc
496,thpt hong quang,Trường THPT Hồng Quang
497,THPT phụ dực,Trường THPT Phụ Dực
498,Trung cấp Bách khoa Hải Phòng,Trường Trung Cấp Bách Khoa Hải Phòng
499,THPT Quỳnh Thọ,Trường THPT Quỳnh Thọ
500,Đại Học Kinh Doanh Và Công Nghệ Hà Nội - HUBT,Trường Đại học Kinh doanh và Công nghệ Hà Nội
501,ĐẠI HỌC Y HẢI PHÒNG,Trường Đại học Y Dược Hải Phòng
502,Trường Trung Cấp Văn Hóa Nghệ Thuật Và Du Lich Quảng Nam,"Trường Trung cấp Văn hóa, Nghệ thuật và Du Lịch Quảng Nam"
503,thpt thanh mien 1,Trường THPT Thanh Miện
504,Truong THPT Gia Loc 2,Trường THPT Gia Lộc II
505,trường THPT Yên Hòa - Cầu GIấy,Trường THPT Yên Hòa
506,THPT Trần Phú - Chí Linh - Hải Dương,Trường THPT Trần Phú
507,Trường THPT Nguyễn Bỉnh Khiêm - Hải Dương,Trường THPT Nguyễn Văn Cừ Cs3
508,Trường Cao đẳng Công nghệ Bách khoa Hà Nội,Trường Cao đẳng Công Nghệ Bách Khoa Hà Nội
509,THCS Nhân quyền,Trường THCS Nhân Quyền
510,THPT Bình Giang,Trường THPT Bình Giang
511,THCS Lê Hồng Phong - Sóc Trăng,Trường THCS Lê Hồng Phong
512,Thpt Ba Diem,Trường THPT Bà Điểm
513,Học viện Chính trị - Hành chính Quốc gia Hồ Chí Minh,Học viện Chính trị Quốc gia Hồ Chí Minh
514,THPT Nam Sách,THPT Nam Sách
515,trung hoc pho thong chi linh,Trường Trung Học Phổ Thông Chí Linh
516,Thpt Thanh Miện 2,Trường THPT Thanh Miện 2
517,DHQD ha noi,Đại học Quốc gia Hà Nội
518,THPT Tam Giang,Trường THPT Tam Giang
519,Trường THPT Nhân Chính,Trường THPT Nhân Chính
520,THPT Trần Thị Dung,Trường THPT Trần Thị Dung
521,Trường THCS Nguyễn Vĩnh Nghiệp,Trường THCS Nguyễn Vĩnh Nghiệp
522,THCS Vu Thi Thuc,Trường Thcs vũ thị thục
523,Đại Học Khoa Học Xã Hội Và Nhân Văn - Đại Học Quốc Gia TP. HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
524,Trường Cao đẳng Nghề số 3 - Bộ Quốc Phòng,Trường Cao đẳng nghề số 3 - BQP
525,THCS Luong Dien,Trường THCS Lương Điền
526,Trường Cao Đẳng Y Tế Thái Bình,Cao đẳng Y tế Thái Bình - Thaibinh Medical College
527,THPT Nguyễn Văn Tăng Q9,Trường THPT Nguyễn Văn Tăng
528,Trường Phù Mỹ 2,Trường THPT số 2 Phù Mỹ
529,Trường Cao Đẳng Du Lịch Hải Phòng,Trường cao đẳng Du lịch Hải Phòng
530,THPT Lộc Bình,Trường THPT Lộc Bình
531,Trường THPT LỘC BÌNH,Trường THPT Lộc Bình
532,cao dang thuong mai va du lich ha noi,Trường Cao đẳng Thương mại và Du lịch Hà Nội
533,THPT Dong Dang,Trường thpt đồng đăng
534,Trường đại học hàng hải Việt Nam,Trường Đại học Hàng hải Việt Nam
535,Trường THCS Nguyễn Công Trứ,Trường THCS Nguyễn Công Trứ
536,Khoa Quốc Tế ĐH Quốc Gia Hà Nội,Khoa Quốc tế - Đại học Quốc gia Hà Nội VNUIS
537,Manchester University,Đại học Manchester
538,Cap 3 cong hien,Trường THPT Cộng Hiền
539,THPTQuangTrung,Trường THPT Quang Trung Đống Đa
540,Trường THPT Lạng Giang Số 3,Trường THPT Lạng Giang số 3
541,THCS Ngọc Sơn - Tứ Kỳ - Hải Dương,Trường THCS Ngọc Sơn
542,Trường THPT B Kim Bảng,THPT B Kim Bảng
543,Trường THCSTT Cao Lộc,Trường THCS Thị trấn Cao Lộc
544,GDTX Q5,Trung Tâm Giáo Dục Thường Xuyên Quận 5
545,Trường trung học phổ thông Hà Bắc - Thanh Hà - Hải Dương,Trường THPT Hà Bắc
546,THPT Phụ Dực,Trường THPT Phụ Dực
547,Đại Học Tiền Giang - Tien Giang University,Trường Đại học Tiền Giang
548,DAI HOC NGAN HANG HCM,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2)
549,Trường THPT Phụ Dực,Trường THPT Phụ Dực
550,THPT C Duy Tiên,Trường THPT C Phủ Lý
551,ptth lục nam,Trường THPT Lục Nam
552,THPT Mạc Đĩnh Chi Thanh Quang Nam Sach Hải Dương,Trường Thpt Mạc Đĩnh Chi
553,THPT Lý Thường Kiệt - Thủy Nguyên - Hải Phòng,Trường THPT Lý Thường Kiệt
554,THPT Đinh Chương Dương-Hậu Lộc -Thanh Hóa,Thpt Đinh Chương Dương
555,THCS Trung Sơn Trầm,Trường THCS Trung Sơn Trầm
556,THCS Trung Sơn Trầm,Trường THCS Trung Sơn Trầm
557,Trường Đại học Kiến trúc Đà Nẵng,Trường Đại học Kiến trúc Đà Nẵng
558,Quảng Bình University,Trường Đại học Quảng Bình
559,Trường Đại học Hàng hải Việt Nam - VMU,Trường Đại học Hàng hải Việt Nam
560,Trường THCS Thanh Tùng,Trường THCS Thanh Tùng
561,THPT Minh hà,Trường THPT Minh Hà
562,cao dang bach nghe hai phong,Trường Cao đẳng Bách nghệ Hải Phòng
563,THPT Cầu Xe,Trường THPT Cầu Xe
564,THPT Thanh Ba Phú Thọ,Trường THPT Thanh Ba
565,THCS Tam Hiệp,Trường THCS Tam Hịêp
566,ĐẠi Học Sư Phạm Vinh,Đại Học Vinh
567,"THPT  Đường An, Bình Giang, Hải Dương",Trường THPT Đường An
568,THPT Đồng Đăng,Trường thpt đồng đăng
569,Trường THPT Hà Bắcv,Trường THPT Hà Bắc
570,THPT Thái Phiên,Trường THPT Thái Phiên
571,"THPT  số 4 Bố trạch, Bố Trạch, Quảng Bình",thpt số 4 bố trạch
572,Trung học cở sở Đằng Lâm - Hải Phòng,Trường THCS Đằng Lâm
573,THPT Gia Bình 1,Trường THPT Gia Bình 1
574,Trường THPT Phùng Hưng,Trường THPT Phùng Hưng
575,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Tp. HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
576,Trường THPT Hải An,Trường THPT Hải An
577,"THPT Châu Phong, Tân Châu, An Giang",Trường THPT Châu Phong
578,Trung học phổ thông Hưng yên,Trường THPT Hưng Yên
579,"TRường THPT Vị Thủy,Hậu Giang",Trường THPT Vị Thủy
580,Trường THPT Bạch Đằng - Thủy Nguyên - Hải Phòng,THPT Bạch Đằng - Hải Phòng
581,THCS Nguyễn Bá Ngọc,Trường THCS Nguyễn Bá Ngọc
582,Trường Đại học Tôn Đức Thắng,Trường Đại học Tôn Đức Thắng
583,King Mongkut's University of Technology North Bangkok,(KMUTNB) King Mongkut's University of Technology North Bangkok
584,Dai Hoc Tong Hop Thanh pho Ho Chi Minh,Trường Đại học Tổng hợp Thành phố Hồ Chí Minh
585,Thới Bình Cần Thơ,Thới Binh
586,Trường THPT Lai Vung 1,Trường THPT Lai Vung I
587,Truong THPT Phu Huu,Trường THPT Phú Hữu
588,Dhsptdtt Tphcm,Dhsptdtt
589,Trường THPT Hậu Nghĩa,Trường THPT Hậu Nghĩa cơ sở 1
590,"Freedom High School (Orlando, Florida)",Freedom High School
591,THPT Huynh Van Sam,Trường THPT Huỳnh Văn Sâm
592,THPT Lê Thị Hồng Gấm,Trường THPT Lê Thị Hồng Gấm
593,University Of Science HCM,Trường Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
594,THPT Nguyễn Văn Thìn,Trường THPT Nguyễn Văn Thìn
595,Pusan University of Foreign Studies,Busan University of Foreign Studies
596,Iowa State University,Đại học Bang Iowa (Iowa State University)
597,PTTH nguyễn trãi,Trường THPT Nguyễn Trãi - Ba Đình
598,Ho Chi Minh University of Science,Trường Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
599,Cở Sở Lê Quí Đôn Phường 1 Thành Phố Vĩnh Long,Trường THCS Lê Quí Đôn
600,Trường THPT Hoài Đức B,Trường THPT Hoài Đức B
601,THCS Trần Đại Nghĩa,Trường THPT Trần Đại Nghĩa
602,THPT Phú Ngọc,Trường THPT Phú Ngọc
603,Học viện CNTT Microsoft tại ĐH Đà Nẵng,Học viện CNTT Microsoft tại ĐHĐN
604,Trung Cap Duoc Vinh Long,Trường Trung Cấp Y Tế Vĩnh Long
605,Đại học Tiền Giang,Trường Đại học Tiền Giang
606,THCS Phú An,Trường THCS Phú An
607,THCS nghia ky,Trường THCS Nghĩa Kỳ
608,THCS Thị trấn tân biên,Trường THCS thị trấn Tân Biên
609,THCS Tân Nhuận Đông,Trường THCS Tân Nhuận Đông
610,thpt long thuong,Trường THPT Lý Thường Kiệt
611,Trường THPT Chu Văn An,Trường THPT Chu Văn An (Trường Bưởi)
612,THPT Hoàng Hoa Thám Đức Trọng Lâm Đồng,Trường THPT Hoàng Hoa Thám
613,Trường Tiểu Học Nguyễn Thiện Thuật,Trường tiểu học Nguyễn Thiện Thuật
614,Thi Xa Sadec,Thành phố Sa Đéc
615,HCM Open University,Trường ĐH Mở TP. Hồ Chí Minh
616,Trường THPT Thạnh Lộc Quận 12,Trường THPT Thạnh Lộc
617,Trần Phú THCS Quận 10,Trường THCS Trần Phú
618,"Trường THPT Nguyễn Trãi, Trảng Bàng, Tây Ninh",Trường THPT Nguyễn Trãi
619,Trung hoc pho thong Cu Nam,Trường Trung Học Phổ Thông Số 2 Bố Trạch
620,THPP nguyen dong chi,Trường THPT Nguyễn Đổng Chi
621,Trường THPT Lê Văn Phẩm,Trường THPT Lê Văn Phẩm
622,"THPT  Trần Đại Nghĩa, Quận 1, TP. Hồ Chí Minh",Trường THPT Chuyên Trần Đại Nghĩa
623,Trung Cấp Phật Học Tp.HCM,Trường Trung cấp Phật học TP.HCM
624,Dai Hoc Can Tho,Đại học Cần Thơ
625,"Trường PTTH Ngô Gia Tự - Quận 8, Tp.HCM",Trường THPT Ngô Gia Tự
626,Trường THPT Vị Xuyên Hà Giang,Trường THPT Vị Xuyên
627,"THPT Lê Hồng Phong, Gia Lai",Trường THPT Lê Hồng Phong
