,text,normed_text,clean_text
15245,Trường Cao Đẳng Nghề Số 1 Bộ Quốc Phòng,Trường Cao Đẳng nghề số 1 - Bộ Quốc phòng,Cao Đẳng nghề số 1 - Bộ Quốc phòng
15246,Trung Học Phổ Thông Cao Bá Quát - Quốc Oai,Trường THPT Cao Bá Quát,THPT Cao Bá Quát
15247,Trung học phổ thông Vùng cao Việt Bắc,Trường Phổ thông Vùng cao Việt Bắc,Phổ thông Vùng cao Việt Bắc
15248,Đại Học KT&QTKD - ĐHTN,Trường Đại học Kinh tế - ĐHQGHN,Đại học Kinh tế - ĐHQGHN
15249,THPT Na Dương,Trường THPT Na Dương,THPT Na Dương
15250,Đại học Kinh tế Thái nguyên,Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên,Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
15251,Trường THPT phổ yên thái nguyên,Trường THPT Phổ Yên,THPT Phổ Yên
15252,THPT Đa Phúc,Trường THPT Đa Phúc,THPT Đa Phúc
15253,THPT CO MẠ Thuận Châu sơn la,Trường THPT Co Mạ,THPT Co Mạ
15254,Trường Đại Học Khoa học Thái Nguyên,Trường Đại học Khoa học,Đại học Khoa học
15255,THPT Yên Khánh A - Ninh Bình,Trường THPT Yên Khánh A,THPT Yên Khánh A
15256,Trường THPT Mường Nhé,Trường THPT Mường Nhé,THPT Mường Nhé
15257,Trung tâm giáo dục thường xuyên Gia Lộc,Trung Tâm Giáo Dục Thường Xuyên Hướng Nghiệp Gia Lộc,Giáo Dục Thường Xuyên Hướng Nghiệp Gia Lộc
15258,thpt que vo so 2,Trường THPT Quế Võ Số 2,THPT Quế Võ Số 2
15259,THPT Chợ Đồn,Trường THPT Chợ Đồn,THPT Chợ Đồn
15260,trường THPT Ba Bể,Trường Trung Học Phổ Thông Ba Bể,Trung Học Phổ Thông Ba Bể
15261,Trường THPT Tô Hiệu,Trường THPT Tô Hiệu,THPT Tô Hiệu
15262,THCS Lương Ngọc Quyến,Trường THCS Lương Ngọc Quyến,THCS Lương Ngọc Quyến
15263,Trường THPT Ngô Quyền Thái Nguyên,Trường THPT Ngô Quyền,THPT Ngô Quyền
15264,"Trường Đại học Sư phạm, Đại học Thái Nguyên",Trường Đại học Sư phạm Thái Nguyên,Đại học Sư phạm Thái Nguyên
15265,thcs Lãng Ngâm,Trường THCS Lãng Ngâm,THCS Lãng Ngâm
15266,Trường Tiểu Học Nhân Mỹ,Trường Tiểu học Nhân Mỹ,Tiểu học Nhân Mỹ
15267,trung hoc pho thong yen dung so 2,THPT Yên Dũng số 2,THPT Yên Dũng số 2
15268,cd su pham bac ninh,Trường Cao Đẳng Sư Phạm Bắc Ninh,Cao Đẳng Sư Phạm Bắc Ninh
15269,Trường THPT Gang Thép - Thái Nguyên,Trường THPT Gang Thép,THPT Gang Thép
15270,"Đại học Kinh tế và Quản trị kinh doanh, Đại học Thái Nguyên",Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên,Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
15271,Trường THPT Lưu Nhân Chú,Trường THPT Lưu Nhân Chú,THPT Lưu Nhân Chú
15272,dai hoc kinh te va QTKD thai nguyen,Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên,Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
15273,"THPT Đại Từ, Huyện Đại Từ, Thái Nguyên",THPT Đại Từ,THPT Đại Từ
15274,Thpt Đại Từ,THPT Đại Từ,THPT Đại Từ
15275,THPT Hải An,Trường THPT Hải An,THPT Hải An
15276,THCSĐoan Kêt,Trường THCS Đoàn Kết,THCS Đoàn Kết
15277,DHBK Ha Noi,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
15278,THCS Hong Thai Dong,Trường THCS Hồng Thái Đông,THCS Hồng Thái Đông
15279,Trường THPT BC Tiến Bộ,Trường Trung Học Phổ Thông Bán Công Tiến Bộ,Trung Học Phổ Thông Bán Công Tiến Bộ
15280,ĐHHH Việt Nam,Trường Đại học Hàng hải Việt Nam,Đại học Hàng hải Việt Nam
15281,THCS An Tien,Trường THCS Tiền An,THCS Tiền An
15282,THPT Quế Võ 3 - Bắc Ninh,Trường THPT Quế Võ số 3,THPT Quế Võ số 3
15283,THPT Amstetdam,Trường THPT chuyên Hà Nội - Amsterdam,THPT chuyên Hà Nội - Amsterdam
15284,THCS Van Yen,Trường THCS Văn Yên Hà Đông,THCS Văn Yên Hà Đông
15285,dai hoc ldxh,Trường Đại học Lao động - Xã hội,Đại học Lao động - Xã hội
15286,Trường Cao Đẳng Phát Thanh Truyền Hình 1,Trường Cao đẳng Phát Thanh - Truyền Hình I,Cao đẳng Phát Thanh - Truyền Hình I
15287,Trường THPT Dân Lập Lương Thế Vinh Phủ lý Hà nam,Trường THPT Dân Lập Lương Thế Vinh,THPT Dân Lập Lương Thế Vinh
15288,Đại Học Kinh Tế - Kỹ Thuật Công Nghiệp - UNETI,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (UNETI),Đại học Kinh tế Kỹ thuật Công nghiệp
15289,Trường THCS Võ Như Hưng,Trường THCS Võ Như Hưng,THCS Võ Như Hưng
15290,THPT yên khánh A ( vườn muỗm ),Trường THPT Yên Khánh A,THPT Yên Khánh A
15291,Đại học Kinh tế TPHCM,Trường Đại học Kinh tế TP. HCM,Đại học Kinh tế TP. HCM
15292,Trường Đại học Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
15293,Trường THPT Giao Thủy B,Trường THPT Giao Thủy B,THPT Giao Thủy B
15294,Đại Học Ngân Hàng TP.HCM,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2),Đại Học Ngân Hàng Tp Hồ Chí Minh
15295,THPT Trần Hưng Đạo-Nam Định,Trường THPT Trần Hưng Đạo,THPT Trần Hưng Đạo
15296,Trường Đại học Tài chính - Marketing,Nhà thờ Thuận Phát,hà thờ Thuận Phát
15297,THPT Thác Bà,Trường THPT Thác Bà,THPT Thác Bà
15298,THPT Nguyễn Văn Trỗi Hà Tĩnh,Trường THPT Nguyễn Văn Trỗi,THPT Nguyễn Văn Trỗi
15299,Thong Nhat B,Trường THPT Thống Nhất,THPT Thống Nhất
15300,"Hatinh University, Vietnam",Trường Đại học Hà Tĩnh,Đại học Hà Tĩnh
15301,Hanoi University of Pharmacy,Trường Đại học Dược Hà Nội (Hanoi University of Pharmacy),Đại học Dược Hà Nội
15302,THPT Long Châu Sa,Trường THPT Long Châu Sa,THPT Long Châu Sa
15303,THPT Lê Hữu Trác - Quảng Phú,Trường THPT Lê Hữu Trác,THPT Lê Hữu Trác
15304,"Trường THPT Chu Văn An, Xã Đại Đồng, Huyện Đại Lộc, Quảng Nam",Trường THPT Chu Văn An,THPT Chu Văn An
15305,Cao dang su pham Djen Bjen,Trường cao đẳng sư phạm Điện Biên,cao đẳng sư phạm Điện Biên
15306,THPT Hải Hậu C,Trường THPT Hải Hậu C,THPT Hải Hậu C
15307,Trường THCS Hải Hậu,Trường THCS Hải Hậu,THCS Hải Hậu
15308,Ho Chi Minh City University of Architecture,Đại học Kiến trúc Thành phố Hồ Chí Minh,Đại học Kiến trúc Thành phố Hồ Chí Minh
15309,Trường THPT Lê Lợi - Tân Kỳ,THPT Lê Lợi - Tân Kỳ - Nghệ An,THPT Lê Lợi - Tân Kỳ - Nghệ An
15310,cấp II Trưng vương Hà nội,Trường THCS Trưng Vương,THCS Trưng Vương
15311,Truong THCS Lý Nhơn,Trường Trung Học Cơ Sở Lý Nhơn,Trung Học Cơ Sở Lý Nhơn
15312,Trường THPT Sơn Mỹ - Quảng Ngãi,Trường THPT Sơn Mỹ,THPT Sơn Mỹ
15313,Trường THPT DTNT Lào Cai,Trường THPT Dân tộc Nội trú Lào Cai,THPT Dân tộc Nội trú Lào Cai
15314,Trường THPT Lộc Bình,Trường THPT Lộc Bình,THPT Lộc Bình
15315,Trường Đại học Công nghệ thông tin và Truyền thông Thái Nguyên,Trường Đại học Công nghệ Thông tin & Truyền thông Thái Nguyên,Đại học Công nghệ Thông tin & Truyền thông Thái Nguyên
15316,THPT Lê Quý Đôn Q3,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
15317,Đại học Âm nhạc Tokyo,Đại học Âm nhạc Tokyo,Đại học Âm nhạc Tokyo
15318,THPT Tự Lập,Trường THPT Tự Lập,THPT Tự Lập
15319,TRUONG TRUNG HOC PHO THONG QUANG XUONG 4,Trường THPT Quảng Xương 4,THPT Quảng Xương 4
15320,Trường THCS Thoại Ngọc Hầu,THCS Thoại Ngọc Hầu,THCS Thoại Ngọc Hầu
15321,Trường THCS Thoại Ngọc Hầu,THCS Thoại Ngọc Hầu,THCS Thoại Ngọc Hầu
15322,THCS Độc Lập,Trường THCS Độc Lập,THCS Độc Lập
15323,Trung học phổ thông Đinh Chương Dương,Thpt Đinh Chương Dương,hpt Đinh Chương Dương
15324,THCS Phú Lương,Trường THCS Phú Lương,THCS Phú Lương
15325,THPT Sơn Dương,Trường THPT Sơn Dương,THPT Sơn Dương
15326,THPT Lý Tự Trọng,Trường THPT Lý Tự Trọng,THPT Lý Tự Trọng
15327,Kim Sơn A,Trường THPT Kim Sơn A,THPT Kim Sơn A
15328,Trường THPT Kiến An,Trường Trung học phổ thông Kiến An,Trung học phổ thông Kiến An
15329,THPT Phạm Văn Nghị,Trường THPT Phạm Văn Nghị,THPT Phạm Văn Nghị
15330,THPT B Nghĩa Hưng,Trường THPT B Nghĩa Hưng,THPT B Nghĩa Hưng
15331,THPT Trần Quốc Toản,Trường THPT Trần Quốc Toản,THPT Trần Quốc Toản
15332,THPT Phù Cừ,Trường THPT Phù Cừ,THPT Phù Cừ
15333,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh
15334,THPT Đinh Tiên Hoàng (Ninh Bình),Trường THPT Đinh Tiên Hoàng,THPT Đinh Tiên Hoàng
15335,Trường THPT Hoàng Văn Thụ - Lục Yên - Yên Bái,Trường THPT Hoàng Văn Thụ,THPT Hoàng Văn Thụ
15336,THPT Đông Anh,Trường THPT Đông Anh,THPT Đông Anh
15337,THCS Truong Han Sieu,Trường THCS Trương Hán Siêu,THCS Trương Hán Siêu
15338,THPT Lê Quý Đôn-Trấn Yên-Yên Bái,Trường THPT Lê Qúy Đôn,THPT Lê Qúy Đôn
15339,cao dang su pham Dien Bien,Trường cao đẳng sư phạm Điện Biên,cao đẳng sư phạm Điện Biên
15340,THPT Việt Đức,Trường THPT Việt Đức,THPT Việt Đức
15341,truong thpt dang thuc hua,Trường THPT Đặng Thúc Hứa,THPT Đặng Thúc Hứa
15342,Trường Cao Đẳng Nghề KTCN Việt Nam - Hàn Quốc,Trường Cao đẳng Kỹ Thuật Công Nghiệp Việt Nam - Hàn Quốc,Cao đẳng Kỹ Thuật Công Nghiệp Việt Nam - Hàn Quốc
15343,PTTH Chuyên Ngoại Ngữ,"Trường THPT Chuyên Ngoại ngữ, Đại học Quốc gia Hà Nội","THPT Chuyên Ngoại ngữ, Đại học Quốc gia Hà Nội"
15344,THPT Hoằng Hóa 2,Trường Thpt Hoằng Hóa 2,Thpt Hoằng Hóa 2
15345,THPT Gia Viễn B,Trường THPT Gia Viễn B,THPT Gia Viễn B
15346,trường đại học tây bắc,Trường Đại học Tây Bắc,Đại học Tây Bắc
15347,THPT chuyên Lương Văn tụy,Trường THPT chuyên Lương Văn Tụy,THPT chuyên Lương Văn Tụy
15348,Trường THPT Huyện Điện Biên,Trường THPT huyện Điện Biên,THPT huyện Điện Biên
15349,Khoa Quốc tế - Đại học Quốc gia Hà Nội (IS-VNU),Khoa Quốc tế - Đại học Quốc gia Hà Nội VNUIS,Khoa Quốc tế - Đại học Quốc gia Hà Nội VNUIS
15350,cao đẳng nghề cơ giới Ninh Bình,Trường Cao đẳng Cơ Giới Ninh Bình,Cao đẳng Cơ Giới Ninh Bình
15351,Đại học Dân lập Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng
15352,THPT Go Cong Dong,THPT Gò Công Đông,THPT Gò Công Đông
15353,THPT Hoài Đức A,Trường THPT Hoài Đức A,THPT Hoài Đức A
15354,Viet Duc High School,Trường THPT Việt Đức,THPT Việt Đức
15355,DHXD Ha Noi,Trường Đại Học Xây Dựng,Đại Học Xây Dựng
15356,Đại học Quốc gia Thành phố Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh
15357,Trường đại học sư phạm kỹ thuật vĩnh long,Trường ĐH Sư phạm Kỹ thuật Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long
15358,RMIT University - HCM City,Đại học RMIT Việt Nam - cơ sở Nam Sài Gòn,Đại học RMIT Việt Nam - cơ sở Nam Sài Gòn
15359,trung hoc pho thong c kim bang,Trường THPT C Kim Bảng,THPT C Kim Bảng
15360,THPT C Kim Bang,Trường THPT C Kim Bảng,THPT C Kim Bảng
15361,Trường THPT Quảng Xương 3,TRƯỜNG THPT QUẢNG XƯƠNG 3,ỜNG THPT QUẢNG XƯƠNG 3
15362,đại học Nội Vụ Hà Nội _cơ sở Đà Nẵng,Trường Đại học Nội Vụ Hà Nội - Cơ sở Miền Trung - VP Đại diện tại Đà Nẵng,Đại học Nội Vụ Hà Nội - Cơ sở Miền Trung - VP Đại diện tại Đà Nẵng
15363,Trường THPT Mê Linh Đông Hưng Thái Bình,Trường THPT Mê Linh,THPT Mê Linh
15364,Trường thcs yên thanh,Trường THCS Yên Thanh,THCS Yên Thanh
15365,THCS Quang Trung - Tam Điệp,Trường THCS Quang Trung,THCS Quang Trung
15366,Trường Cấp 3 Công Nghiệp Việt Trì,Trường THPT Công Nghiệp Việt Trì,THPT Công Nghiệp Việt Trì
15367,Truong THPT Yen Dinh 1,TRƯỜNG THPT YÊN ĐỊNH 1,THPT YÊN ĐỊNH 1
15368,Trường Đại học Y Hà Nội,Trường Đại Học Y Hà Nội,Đại Học Y Hà Nội
15369,Trường THPT Phạm Văn Nghị,Trường THPT Phạm Văn Nghị,THPT Phạm Văn Nghị
15370,Đại học Sư phạm Thái Nguyên,Trường Đại học Sư phạm Thái Nguyên,Đại học Sư phạm Thái Nguyên
15371,Trường THPT Cẩm Thủy 1,Trường THPT Cẩm Thủy I,THPT Cẩm Thủy I
15372,Khoa Marketing - Đại học Thương Mại,Trường Đại học Thương mại,Đại học Thương mại
15373,Trường Trung Học Cơ Sở Điện Biên,Trường THCS Điện Biên,THCS Điện Biên
15374,THPT Hàm Rồng,Trường THPT Hàm Rồng,THPT Hàm Rồng
15375,THCS ĐIỆN BIÊN,Trường THCS Điện Biên,THCS Điện Biên
15376,"Trường THPT Đức Hòa, Đức Hòa, Long An",Trường THPT Đức Hòa,THPT Đức Hòa
15377,Trường Đại Học TDTT Đà Nẵng,Trường Đại học Thể dục Thể thao Đà Nẵng,Đại học Thể dục Thể thao Đà Nẵng
15378,Đại Học Tài Nguyên và Môi Trường Hà Nội,Trường Đại học Tài nguyên và Môi trường Hà Nội,Đại học Tài nguyên và Môi trường Hà Nội
15379,THCS Mao Khe 1,Trường THCS Mạo Khê 1,THCS Mạo Khê 1
15380,trường thcs bình sơn,Trường THCS Bình Sơn,THCS Bình Sơn
15381,DH Ngoai Thuong,Trường Đại học Ngoại thương,Đại học Ngoại thương
15382,Đại học Thái Nguyên,Trường Đại học Thái Nguyên,Đại học Thái Nguyên
15383,Trường THPT Lương Tâm,Trường THPT Lương Tâm,THPT Lương Tâm
15384,THPT Nguyễn Sỹ Sách,Trường THPT Nguyễn Sỹ Sách,THPT Nguyễn Sỹ Sách
15385,Truong pho thong trung hoc My Hao,Trường THPT Mỹ Hào,THPT Mỹ Hào
15386,"National Economics University, Hanoi",Trường Đại Học Kinh Tế Quốc Dân,Đại Học Kinh Tế Quốc Dân
15387,Quân Đội Nhân Dân Việt Nam,Quân đội Nhân dân Việt Nam,Quân đội Nhân dân Việt Nam
15388,THPT Trần Hưng Đạo - Thanh Xuân,Trường Trung học phổ thông Trần Hưng Đạo - Thanh Xuân,Trung học phổ thông Trần Hưng Đạo - Thanh Xuân
15389,THPT Tân Lập,Trường THPT Tân Lập,THPT Tân Lập
15390,Tran Nguyen Han,Trần Nguyên Hãn,ần Nguyên Hãn
15391,THPT Gia Viễn A,Trường THPT Gia Viễn A,THPT Gia Viễn A
15392,Trường THPT Gia Bình số 1,Trường THPT Gia Bình 1,THPT Gia Bình 1
15393,Trường Cao đẳng Sư phạm Bắc Ninh,Trường Cao Đẳng Sư Phạm Bắc Ninh,Cao Đẳng Sư Phạm Bắc Ninh
15394,THPT Đại Mỗ,Trường THPT Đại Mỗ,THPT Đại Mỗ
15395,cd phat thanh truyen hinh 1,Trường Cao đẳng Phát Thanh - Truyền Hình I,Cao đẳng Phát Thanh - Truyền Hình I
15396,THPT chuyên Hoàng Văn Thụ,Trường THPT Chuyên Hoàng Văn Thụ,THPT Chuyên Hoàng Văn Thụ
15397,PTTH Hoằng Hóa II,Trường Thpt Hoằng Hóa 2,Thpt Hoằng Hóa 2
15398,Trường Đại học Thủy lợi,Trường Đại Học Thủy Lợi,Đại Học Thủy Lợi
15399,THPT Quảng Xương 1,THPT Quảng Xương 1,THPT Quảng Xương 1
15400,THPT Dân Lập Diêm Điền Thái Thụy Thái Bình,Trường THPT Dân Lập Diêm Điền,THPT Dân Lập Diêm Điền
15401,Truong THPT Thuan Thanh 3 - Bac Ninh,THPT Thuận Thành Số 3,THPT Thuận Thành Số 3
15402,"Trường Đại Học Kinh Bắc - Bắc Ninh "" UKB """,Trường Đại học Kinh Bắc,Đại học Kinh Bắc
15403,THPT Đại Ngãi,Trường THPT Đại Ngãi,THPT Đại Ngãi
15404,THPT Nam Tien Hai,Trường THPT Nam Tiền Hải,THPT Nam Tiền Hải
15405,THPT Chương Mỹ B,Trường THPT Chương Mỹ B,THPT Chương Mỹ B
15406,Trường THPT Thuận Châu,Trường THPT Thuận Châu,THPT Thuận Châu
15407,THPT Thuận Châu - Sơn La,Trường THPT Thuận Châu,THPT Thuận Châu
15408,Trường THCS Huy Văn,Trường THCS Huy Văn,THCS Huy Văn
15409,THCS Cát Linh,Trường THCS Cát Linh,THCS Cát Linh
15410,Trường Tiểu Học Tô Vĩnh Diện,Trường tiểu học Tô Vĩnh Diện,tiểu học Tô Vĩnh Diện
15411,Trường THPT Trần Phú - Hoàn Kiếm,Trường THPT Trần Phú - Hoàn Kiếm,THPT Trần Phú - Hoàn Kiếm
15412,Trường THPT Tăng Bạt Hổ,Trường THPT Tăng Bạt Hổ,THPT Tăng Bạt Hổ
15413,Trường THPT Liên cấp 2+3 Hưng Khánh,Trường trung học phổ thông Hưng Khánh,trung học phổ thông Hưng Khánh
15414,THPT Phù Ninh - Phú Thọ,Trường THPT Phù Ninh,THPT Phù Ninh
15415,Học viện Hành Chính Quốc Gia,Học viện Hành chính Quốc Gia,Học viện Hành chính Quốc Gia
15416,Truong Cao Dang Cong Dong Dong Thap,Trường Cao đẳng Cộng đồng Đồng Tháp,Cao đẳng Cộng đồng Đồng Tháp
15417,THPT B Thanh Liêm,Trường THPT B Thanh Liêm,THPT B Thanh Liêm
15418,THPT Bán Công Đống Đa -> THPT Hoàng Cầu - Đống Đa,Trường THPT Hoàng Cầu,THPT Hoàng Cầu
15419,Trường Cao Đẳng Kinh Tế Công Nghiệp Hà Nội,Trường Cao Đẳng Kinh Tế Công Nghiệp Hà Nội,Cao Đẳng Kinh Tế Công Nghiệp Hà Nội
15420,phổ thông Hoài Đức A,Trường THPT Hoài Đức A,THPT Hoài Đức A
15421,Trường Đại Học Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
15422,ĐH Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
15423,"THPT VĨNH LỘC, THANH HÓA",TRƯỜNG THPT VĨNH LỘC,THPT VĨNH LỘC
15424,THCS TAY DO,Trường Thcs Tây Đô,Thcs Tây Đô
15425,THPT Binh Giang,Trường THPT Bình Giang,THPT Bình Giang
15426,ĐH Thương Mại,Trường Đại học Thương mại,Đại học Thương mại
15427,Trade Union University,Trường Đại Học Công Đoàn,Đại Học Công Đoàn
15428,Phan Chau Trinh High School - Da Nang,Trường THPT Phan Châu Trinh,THPT Phan Châu Trinh
15429,THPT lục ngạn số 2,Trường THPT Lục Ngạn số 2,THPT Lục Ngạn số 2
15430,DH cong nghiep ha noi,Trường Đại học Công nghiệp Hà Nội,Đại học Công nghiệp Hà Nội
15431,THPT Lê Hoàn,Trường THPT Lê Hoàn,THPT Lê Hoàn
15432,Trường THPT Lê Xoay,Trường THPT Lê Xoay,THPT Lê Xoay
15433,Trường Đại học Tổng hợp Hà Nội,Đại Học Tổng Hợp Hà Nọi,Đại Học Tổng Hợp Hà Nọi
15434,Trường THPT Tứ Kỳ,Trường THPT Tứ Kỳ,THPT Tứ Kỳ
15435,THPT Thanh liêm a,Trường THPT Thanh Liêm A,THPT Thanh Liêm A
