text,normed_text,lower_text,lower_normed_text
TPHT Phú Hòa Đông,THPT Phú Hòa,tpht phú hòa đông,thpt phú hòa
Trường THPT Châu Thành 2,THPT Châu Thành,trường thpt châu thành 2,thpt châu thành
THPT Trần Đình Phong,THPT Trần Đình Phong,thpt trần đình phong,thpt trần đình phong
DH Su phamHN,ĐH Sư phạm Hà Nội,dh su phamhn,đh sư phạm hà nội
cao dang cong nghiep hai phong,CĐ Công Nghiệp Hải Phòng,cao dang cong nghiep hai phong,cđ công nghiệp hải phòng
THPT NamTrieu,THPT Nam Triệu,thpt namtrieu,thpt nam triệu
Lilama 2,CĐ Công Nghệ Quốc Tế Lilama,lilama 2,cđ công nghệ quốc tế lilama
Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên - TNUT,ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên,đại học kỹ thuật công nghiệp thái nguyên - tnut,đh kỹ thuật công nghiệp - đh thái nguyên
Trường THPT dong yen,THPT Đồng Yên,trường thpt dong yen,thpt đồng yên
Trường THPT ban cong ba tri,THPT Bán công Ba Tri,trường thpt ban cong ba tri,thpt bán công ba tri
Trường THPT DTNT ĐHLN HN,THPT Lâm Nghiệp,trường thpt dtnt đhln hn,thpt lâm nghiệp
Trường THPT phan van hung,THPT Phan Văn Hùng,trường thpt phan van hung,thpt phan văn hùng
Trường Hai Bà Trưng Huế,THPT Hai Bà Trưng,trường hai bà trưng huế,thpt hai bà trưng
Truong Trường THPT Luong The Vinh Hau Giang,THPT Lương Thế Vinh,truong trường thpt luong the vinh hau giang,thpt lương thế vinh
Trường Đại học Hà Nội,ĐH Hà Nội,trường đại học hà nội,đh hà nội
Đai học Khoa Học XH&NV,ĐH Khoa học Xã hội và Nhân văn - ĐH Quốc gia Hà Nội,đai học khoa học xh&nv,đh khoa học xã hội và nhân văn - đh quốc gia hà nội
Trường THPT thanh hoa,THPT Thanh Hòa,trường thpt thanh hoa,thpt thanh hòa
Trường THPT ap bac,THPT Âp Bắc,trường thpt ap bac,thpt âp bắc
Trường THCS Phước Hòa,THPT Phước Hòa,trường thcs phước hòa,thpt phước hòa
Trường THPT Luong The Vinh (Điện Bàn-Quảng Nam),THPT Lương Thế Vinh,trường thpt luong the vinh (điện bàn-quảng nam),thpt lương thế vinh
pho thong tran bien,THPT Trấn Biên,pho thong tran bien,thpt trấn biên
Trường Cao đẳngDu lịch Đà Nẵng,CĐ Du Lịch Đà Nẵng,trường cao đẳngdu lịch đà nẵng,cđ du lịch đà nẵng
TRUNG HOC PHO THONG BAN CONG TINH BEN TRE,THPT Chuyên Bến Tre,trung hoc pho thong ban cong tinh ben tre,thpt chuyên bến tre
THPT Pham Van Dong DakRlap,THPT Phạm Văn Đồng,thpt pham van dong dakrlap,thpt phạm văn đồng
THPT Cầm Bá thước,THPT Cầm Bá Thước,thpt cầm bá thước,thpt cầm bá thước
"Hatinh University, Vietnam",ĐH Hà Tĩnh,"hatinh university, vietnam",đh hà tĩnh
Trường THPT Bình Tân,THPT Bình Tân,trường thpt bình tân,thpt bình tân
Trung học phổ thông chuyên Nguyễn Đình Chiểu,THPT Chuyên Nguyễn Đình Chiểu,trung học phổ thông chuyên nguyễn đình chiểu,thpt chuyên nguyễn đình chiểu
Trường THCS va Trường THPT vo nguyen giap tu 25 01 2017 den truoc 01 01 2020,THCS-THPT Võ Nguyên Giáp,trường thcs va trường thpt vo nguyen giap tu 25 01 2017 den truoc 01 01 2020,thcs-thpt võ nguyên giáp
Trung Học Phổ Thông Hưng Đạo Tứ Kỳ,THPT Hưng Đạo,trung học phổ thông hưng đạo tứ kỳ,thpt hưng đạo
Trường THPT Như Thanh 4,THPT NHƯ THANH,trường thpt như thanh 4,thpt như thanh
"THPT Lý Tự Trọng, Krong Nang, Dak Lak",THPT Lý Tự Trọng,"thpt lý tự trọng, krong nang, dak lak",thpt lý tự trọng
Truong Cao Dang Su Pham Trung Uong Nha Trang,CĐ Sư Phạm Trung ương Nha Trang,truong cao dang su pham trung uong nha trang,cđ sư phạm trung ương nha trang
Trường ĐHSPKT Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long,trường đhspkt vĩnh long,đh sư phạm kỹ thuật vĩnh long
Nguyễn Đức Cảnh KIẾN THỤY HP,THPT Nguyễn Đức Cảnh,nguyễn đức cảnh kiến thụy hp,thpt nguyễn đức cảnh
TTGDTX- Lập Thạch,GDNN-GDTX Lập Thạch,ttgdtx- lập thạch,gdnn-gdtx lập thạch
THPT Lương Thế Vinh - Quảng Nam,THPT Lương Thế Vinh,thpt lương thế vinh - quảng nam,thpt lương thế vinh
THPT Bắc Mê,THPT Bắc Mê,thpt bắc mê,thpt bắc mê
tt gdtx ngoai ngu tin hoc tinh dak nong,GDNN-GDTX Ngoại ngữ,tt gdtx ngoai ngu tin hoc tinh dak nong,gdnn-gdtx ngoại ngữ
Dai hoc det may thoi trang ha noi,ĐH Công Nghiệp Dệt May Hà Nội,dai hoc det may thoi trang ha noi,đh công nghiệp dệt may hà nội
VMU,ĐH Y Khoa Vinh,vmu,đh y khoa vinh
Đại Học Kinh Tế TP Hồ Chí Minh,ĐH Kinh tế TP. HCM,đại học kinh tế tp hồ chí minh,đh kinh tế tp. hcm
pho thong yen dung so 2,THPT Yên Dũng,pho thong yen dung so 2,thpt yên dũng
Truong dh an njnh,ĐH An ninh Nhân dân,truong dh an njnh,đh an ninh nhân dân
"Trường THPT Nguyễn Trường Tộ, tp Vinh",THPT Dân Lập Nguyễn Trường Tộ,"trường thpt nguyễn trường tộ, tp vinh",thpt dân lập nguyễn trường tộ
THPT Ninh Giang II - Hải Dương,THPT Ninh Giang,thpt ninh giang ii - hải dương,thpt ninh giang
Dai hoc sai gon,ĐH Sài Gòn,dai hoc sai gon,đh sài gòn
Trường thpt nguyễn Hiếu Tự,THPT Nguyễn Hiếu Tự,trường thpt nguyễn hiếu tự,thpt nguyễn hiếu tự
Trường Đại học nam Cần Thơ - nam Can Tho University,ĐH Nam Cần Thơ,trường đại học nam cần thơ - nam can tho university,đh nam cần thơ
Cựu sinh viên Đại học Luật thành phố Hồ Chí Minh,ĐH Luật TP.HCM,cựu sinh viên đại học luật thành phố hồ chí minh,đh luật tp.hcm
Cao Đẳng Nghề Bắc Kạn_ Bắc Kạn Vocatlonal Training Colleges,CĐ Nghề DTNT Bắc Kạn,cao đẳng nghề bắc kạn_ bắc kạn vocatlonal training colleges,cđ nghề dtnt bắc kạn
THPT Trần Đăng ninh,THPT Trần Đăng Ninh,thpt trần đăng ninh,thpt trần đăng ninh
THPT An Dương,THPT An Dương,thpt an dương,thpt an dương
Trung Tâm Giáo dục Thường xuyên Đông Hưng,GDNN-GDTX Đông Hưng,trung tâm giáo dục thường xuyên đông hưng,gdnn-gdtx đông hưng
Trung cap Van Tuong,TC Vạn Tường,trung cap van tuong,tc vạn tường
PTTH Mạc Đĩnh Chi,THPT Mạc Đĩnh Chi,ptth mạc đĩnh chi,thpt mạc đĩnh chi
Trường cao đẳng y tế Tiền Giang,CĐ Y tế Tiền Giang,trường cao đẳng y tế tiền giang,cđ y tế tiền giang
"THPT Phùng Hưng,Hà Đông, Hà Nội",THPT Phùng Hưng,"thpt phùng hưng,hà đông, hà nội",thpt phùng hưng
chuyen nganh marketing duy tan university,ĐH Duy Tân,chuyen nganh marketing duy tan university,đh duy tân
truong thpt tran van ky,THPT Trần Văn Kỷ,truong thpt tran van ky,thpt trần văn kỷ
College of Televison,CĐ Truyền hình,college of televison,cđ truyền hình
dai hoc tai chinh ke toan quang ngai,ĐH Tài chính Kế toán,dai hoc tai chinh ke toan quang ngai,đh tài chính kế toán
national university of singapore,ĐH Quốc gia Singapore,national university of singapore,đh quốc gia singapore
Trường THPT Bá Thước,THPT Bá Thước,trường thpt bá thước,thpt bá thước
Trường THPT Hồ Thị Kỷ,THPT Hồ Thị Kỷ,trường thpt hồ thị kỷ,thpt hồ thị kỷ
THPT Lê Quý Đôn - Cát Bi -Hải Phòng,THPT Lê Quý Đôn,thpt lê quý đôn - cát bi -hải phòng,thpt lê quý đôn
tt dn gdtx thuy nguyen,GDNN-GDTX Thủy Nguyên,tt dn gdtx thuy nguyen,gdnn-gdtx thủy nguyên
PTTH Trần Quốc Tuấn,THPT Trần Quốc Tuấn,ptth trần quốc tuấn,thpt trần quốc tuấn
pt vinh xuan,THPT Vinh Xuân,pt vinh xuan,thpt vinh xuân
Truong Trung Hoc Pho Thong Ho Thi Nham,THPT Hồ Thị Nhâm,truong trung hoc pho thong ho thi nham,thpt hồ thị nhâm
Trường THCS va Trường THPT hieu nhon,THCS-THPT Hiếu Nhơn,trường thcs va trường thpt hieu nhon,thcs-thpt hiếu nhơn
trung hoc pho thong tam phu,THPT Tam Phú,trung hoc pho thong tam phu,thpt tam phú
Trung Tâm GDTX Quận 12,GDNN-GDTX TP.HCM,trung tâm gdtx quận 12,gdnn-gdtx tp.hcm
Trung học Trần Phú Hà nội,THPT Trần Phú,trung học trần phú hà nội,thpt trần phú
TTGDTX phú nhuận,GDNN-GDTX Quận Phú Nhuận,ttgdtx phú nhuận,gdnn-gdtx quận phú nhuận
Trung học phổ thông Hoàng Văn Thụ Vụ Bản Nam Đinh,THPT Hoàng Văn Thụ,trung học phổ thông hoàng văn thụ vụ bản nam đinh,thpt hoàng văn thụ
Trung Học Phổ Thông Viêt Yên,THPT Việt Yên,trung học phổ thông viêt yên,thpt việt yên
YHCT ha noi,HV Y Dược học cổ truyền Việt Nam,yhct ha noi,hv y dược học cổ truyền việt nam
Học Viện Bưu Chính Viễn Thông,HV Công nghệ Bưu chính viễn thông,học viện bưu chính viễn thông,hv công nghệ bưu chính viễn thông
trung cấp nghề thương mại du lịch tỉnh thanh hoa,TC Nghề Thương mại Du Lịch Thanh Hóa,trung cấp nghề thương mại du lịch tỉnh thanh hoa,tc nghề thương mại du lịch thanh hóa
Hoc vien hai quan,HV Hải Quân,hoc vien hai quan,hv hải quân
"Khoa Khách sạn - Du lịch, ĐH Thương mại",ĐH Thương mại,"khoa khách sạn - du lịch, đh thương mại",đh thương mại
Truong THPT Ha Lang,THPT Hạ Lang,truong thpt ha lang,thpt hạ lang
THPT Thạnh Tân,THPT Thạnh Tân,thpt thạnh tân,thpt thạnh tân
đại học vinh,ĐH Vinh,đại học vinh,đh vinh
THPT Kim Anh,THPT Kim Anh,thpt kim anh,thpt kim anh
Trườngg thpt số 4 Bố Trạch,THPT bố trạch,trườngg thpt số 4 bố trạch,thpt bố trạch
trường cao đẳng DANAVTC,CĐ Nghề Đà Nẵng,trường cao đẳng danavtc,cđ nghề đà nẵng
quoc hoc quy nhon,Quốc Học Quy Nhơn,quoc hoc quy nhon,quốc học quy nhơn
Trường trung học phổ thông Nguyễn Trung Trực,THPT Nguyễn Trung Trực,trường trung học phổ thông nguyễn trung trực,thpt nguyễn trung trực
Trường THPT Lương Phú - Phú Bình - Thái Nguyên,THPT Lương Phú,trường thpt lương phú - phú bình - thái nguyên,thpt lương phú
Trường THPT kinh mon tu 28 4 2017,THPT Kinh Môn,trường thpt kinh mon tu 28 4 2017,thpt kinh môn
Trường THPT Thủ Khoa Huân - Chợ Gạo - Tiền Giang,THPT Thủ Khoa Huân,trường thpt thủ khoa huân - chợ gạo - tiền giang,thpt thủ khoa huân
Trường THPT b duy tien,THPT Duy Tiên,trường thpt b duy tien,thpt duy tiên
trường ptth phan thúc trực,THPT Phan Thúc Trực,trường ptth phan thúc trực,thpt phan thúc trực
Trường THPT ke sach,THPT Kế Sách,trường thpt ke sach,thpt kế sách
Trường THPT thi xa phuoc long,THPT Thị xã Phước Long,trường thpt thi xa phuoc long,thpt thị xã phước long
truong dai hoc ki thuat cong nge tp hcm_hutech,ĐH Công nghệ TP.HCM,truong dai hoc ki thuat cong nge tp hcm_hutech,đh công nghệ tp.hcm
dai hoc cong nghiep tp ho chi minh,ĐH Công nghiệp TP.HCM,dai hoc cong nghiep tp ho chi minh,đh công nghiệp tp.hcm
THPT A Kimbang,THPT Kim Bảng,thpt a kimbang,thpt kim bảng
Truong THPT Le trung dinh quang ngai,THPT Lê Trung Đình,truong thpt le trung dinh quang ngai,thpt lê trung đình
Triệu sơn 3,THPT Triệu Sơn,triệu sơn 3,thpt triệu sơn
Truong Trường THPT Hoang Hoa2,THPT Hoằng Hóa,truong trường thpt hoang hoa2,thpt hoằng hóa
cd nghe co dien tay bac,CĐ Nghề Cơ điện Tây Bắc,cd nghe co dien tay bac,cđ nghề cơ điện tây bắc
THPT Tam Đảo -Tam quan-Tam đảo-Vĩnh phúc,THPT Tam Đảo,thpt tam đảo -tam quan-tam đảo-vĩnh phúc,thpt tam đảo
truong THPT Binh Son,THPT Bình Sơn,truong thpt binh son,thpt bình sơn
Trường THPT cao lanh 1,THPT Cao Lãnh,trường thpt cao lanh 1,thpt cao lãnh
trường thpt quỳ hợp 2,THPT Quỳ hợp,trường thpt quỳ hợp 2,thpt quỳ hợp
Trường THPT Bố Trạch,THPT Bố Trạch,trường thpt bố trạch,thpt bố trạch
THPT Nguyễn Mai,THPT Nguyễn Mai,thpt nguyễn mai,thpt nguyễn mai
Thptque vo so 2,THPT Quế Võ,thptque vo so 2,thpt quế võ
cao dang kinh te ky thuat kon tum,CĐ Kinh Tế Kỹ Thuật Kon Tum,cao dang kinh te ky thuat kon tum,cđ kinh tế kỹ thuật kon tum
thpt vu le,THPT Vũ Lễ,thpt vu le,thpt vũ lễ
Trường trung học phổ thông an biên,THPT An Biên,trường trung học phổ thông an biên,thpt an biên
trường trung học phổ thông Phú Riềng,THPT Phú Riềng,trường trung học phổ thông phú riềng,thpt phú riềng
"Trường THPT Lê Lợi,Hà Đông,Hà Nội",THPT Lê Lợi,"trường thpt lê lợi,hà đông,hà nội",thpt lê lợi
THPT Phan Huy Chú - Thạch Thất - Hà Nội,THPT Dân Lập Phan Huy Chú,thpt phan huy chú - thạch thất - hà nội,thpt dân lập phan huy chú
Trường THPT Huỳnh Hữu Nghĩa,THPT Huỳnh Hữu Nghĩa,trường thpt huỳnh hữu nghĩa,thpt huỳnh hữu nghĩa
ĐH Giao Thông Vận Tải TP HCM,ĐH Giao thông vận tải TP.HCM,đh giao thông vận tải tp hcm,đh giao thông vận tải tp.hcm
Trường THPTH HUYNH VAN SAM,THPT Huỳnh Văn Sâm,trường thpth huynh van sam,thpt huỳnh văn sâm
TTGDTXq12,GDNN-GDTX TP.HCM,ttgdtxq12,gdnn-gdtx tp.hcm
THPT Phạm Ngũ Lão - Hưng Yên,THPT Phạm Ngũ Lão,thpt phạm ngũ lão - hưng yên,thpt phạm ngũ lão
cd nghe vinh phuc,CĐ Nghề Vĩnh Phúc,cd nghe vinh phuc,cđ nghề vĩnh phúc
Trường Trung Cấp Kỹ Thuật Nông Nghiệp Tp.HCM,TC Kỹ Thuật Nông Nghiệp TP.HCM,trường trung cấp kỹ thuật nông nghiệp tp.hcm,tc kỹ thuật nông nghiệp tp.hcm
trung hoc phổ thông khánh hưng,THPT Khánh Hưng,trung hoc phổ thông khánh hưng,thpt khánh hưng
Học viện bóng đá Hoàng Anh Gia Lai - Arsenal JMG,HV Bóng đá Hoàng Anh Gia Lai Arsenal JMG,học viện bóng đá hoàng anh gia lai - arsenal jmg,hv bóng đá hoàng anh gia lai arsenal jmg
Đại học công an TP.HCM,ĐH Cảnh sát Nhân dân,đại học công an tp.hcm,đh cảnh sát nhân dân
TRUNG TAM GDTX - HUYEN THUONG XUAN,GDNN-GDTX Huyện Thường Xuân,trung tam gdtx - huyen thuong xuan,gdnn-gdtx huyện thường xuân
Truog THPT Da Phuoc,THPT Đa Phước,truog thpt da phuoc,thpt đa phước
THPT Moc Ly,THPT Mộc Lỵ,thpt moc ly,thpt mộc lỵ
gdnn gdtx huyen thanh oai,GDNN-GDTX Thanh Oai,gdnn gdtx huyen thanh oai,gdnn-gdtx thanh oai
đai hoc binh duong,ĐH Bình Dương,đai hoc binh duong,đh bình dương
truong dai hoc phu yen,ĐH Phú Yên,truong dai hoc phu yen,đh phú yên
"THPT  Mỹ Hương, Mỹ Tú, Sóc Trăng",THPT Mỹ Hương,"thpt  mỹ hương, mỹ tú, sóc trăng",thpt mỹ hương
"THPT Chu Van An TX Hồng Ngự, Đồng Tháp",THPT Chu Văn An,"thpt chu van an tx hồng ngự, đồng tháp",thpt chu văn an
THPT Tay Son,THPT Tây Sơn,thpt tay son,thpt tây sơn
truong trung hoc pho thong do luong 2,THPT Đô Lương,truong trung hoc pho thong do luong 2,thpt đô lương
Trung hoc Quan Y 1,CĐ Hậu cần,trung hoc quan y 1,cđ hậu cần
Trường THPT phong phu,THPT Phong Phú,trường thpt phong phu,thpt phong phú
trung tam gdnn gdtx huong khe,GDNN-GDTX Hương Khê,trung tam gdnn gdtx huong khe,gdnn-gdtx hương khê
THPT Ông Ích Khiêm,THPT ông ích khiêm,thpt ông ích khiêm,thpt ông ích khiêm
Trường THPT hung nhan,THPT Hưng Nhân,trường thpt hung nhan,thpt hưng nhân
"trường THPT Lê Hồng Phong, DUy Xuyên Quảng Nam",THPT Lê Hồng Phong,"trường thpt lê hồng phong, duy xuyên quảng nam",thpt lê hồng phong
ĐH Sư Phạm Kỹ Thuật Nam Định,ĐH Sư phạm Kỹ thuật Nam Định,đh sư phạm kỹ thuật nam định,đh sư phạm kỹ thuật nam định
Trường THPT ea rok,THPT Ea Rốk,trường thpt ea rok,thpt ea rốk
CĐ TW HN,CĐ Sư phạm Trung ương,cđ tw hn,cđ sư phạm trung ương
truong THPT Tu son,THPT Tứ Sơn,truong thpt tu son,thpt tứ sơn
pho thong hoang van thu,THPT Hoàng Văn Thụ,pho thong hoang van thu,thpt hoàng văn thụ
THPT Trưng Vương Quy Nhơn,THPT Trưng Vương,thpt trưng vương quy nhơn,thpt trưng vương
Quỳ Hợp 1,THPT huyện Quỳ Hợp,quỳ hợp 1,thpt huyện quỳ hợp
THPT Lien Ha,THPT Liên Hà,thpt lien ha,thpt liên hà
tt gdtx hai phong,GDNN-GDTX Hải Phòng,tt gdtx hai phong,gdnn-gdtx hải phòng
THPT Nguyen Tat Thanh iapa gialai,THPT Nguyễn Tất Thành,thpt nguyen tat thanh iapa gialai,thpt nguyễn tất thành
THPT Yen Hoa Tu liem Hn,THPT Yên Hòa,thpt yen hoa tu liem hn,thpt yên hòa
THPT Cau Quang,THPT Cầu Quan,thpt cau quang,thpt cầu quan
Trường Trung Học Phổ Thông An Dương,THPT An Dương,trường trung học phổ thông an dương,thpt an dương
Trung cấp Cảnh Sát Nhân Dân 2,CĐ Cảnh Sát Nhân Dân,trung cấp cảnh sát nhân dân 2,cđ cảnh sát nhân dân
trung học phổ thông lý thường kiệt,THPT Lý Thường Kiệt,trung học phổ thông lý thường kiệt,thpt lý thường kiệt
Trường THPTTH Xuân Đỉnh - HN,THPT Xuân Đỉnh,trường thptth xuân đỉnh - hn,thpt xuân đỉnh
Trường Lục Ngạn số 1,THPT Lục Ngạn,trường lục ngạn số 1,thpt lục ngạn
THPT Trần Quốc Đại,THPT Trần Quốc Đại,thpt trần quốc đại,thpt trần quốc đại
Đại học Văn Hóa TP HCM - VHS,ĐH Văn hóa TP.HCM,đại học văn hóa tp hcm - vhs,đh văn hóa tp.hcm
Hà Nội Open University,ĐH Mở Hà Nội,hà nội open university,đh mở hà nội
thpt que vo 2,THPT Quế Võ,thpt que vo 2,thpt quế võ
Trường Trung Học Đa Phúc,THPT Đa Phúc,trường trung học đa phúc,thpt đa phúc
truong cd xay dung mien tay,ĐH Xây Dựng Miền Tây,truong cd xay dung mien tay,đh xây dựng miền tây
Trường THPT cam ly,THPT Cẩm Lý,trường thpt cam ly,thpt cẩm lý
"THPT Nguyen Dang, Cang Long, Tra Vinh",THPT Nguyễn Đáng,"thpt nguyen dang, cang long, tra vinh",thpt nguyễn đáng
TT GDTX phuoc long,GDNN-GDTX Phước Long,tt gdtx phuoc long,gdnn-gdtx phước long
truong cdcn tuy hoa,CĐ Công Thương Miền Trung,truong cdcn tuy hoa,cđ công thương miền trung
THPT Tạ Quang Bửu P5 Q8,THCS-THPT Tạ Quang Bửu,thpt tạ quang bửu p5 q8,thcs-thpt tạ quang bửu
Trường THPT Lý Thái Tổ Hà Nội,THPT Lý Thái Tổ,trường thpt lý thái tổ hà nội,thpt lý thái tổ
Trung học phổ thông xuân khanh,THPT Xuân Khanh,trung học phổ thông xuân khanh,thpt xuân khanh
Thực hành sư phạm - Đại học An Giang,THPT Thực hành Sư phạm,thực hành sư phạm - đại học an giang,thpt thực hành sư phạm
Trường THPT Nghèn,THPT Nghèn,trường thpt nghèn,thpt nghèn
Học Viện Quản Lý Giáo Dục,HV Quản Lý Giáo Dục,học viện quản lý giáo dục,hv quản lý giáo dục
Trường Cao Đẳng Nghề Kỹ Thuật Công Nghệ TP. HC,CĐ Kỹ Nghệ,trường cao đẳng nghề kỹ thuật công nghệ tp. hc,cđ kỹ nghệ
ĐH Phòng cháy chữa cháy,ĐH Phòng cháy chữa cháy,đh phòng cháy chữa cháy,đh phòng cháy chữa cháy
Trường THPT Chuyên Hùng Vương-Việt Trì-Phú Thọ,THPT Chuyên Hùng Vương,trường thpt chuyên hùng vương-việt trì-phú thọ,thpt chuyên hùng vương
Cđ lương thực thực phẩm (CFI),CĐ Lương Thực Thực Phẩm,cđ lương thực thực phẩm (cfi),cđ lương thực thực phẩm
truong trung hoc pho thong thieu van choi,THPT Thiều Văn Chỏi,truong trung hoc pho thong thieu van choi,thpt thiều văn chỏi
Trường Cao Đẳng Nghề Hoà Bình Xuân Lộc,CĐ Hòa Bình Xuân Lộc,trường cao đẳng nghề hoà bình xuân lộc,cđ hòa bình xuân lộc
cao dang kinh te doi ngoai tphcm,CĐ Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai tphcm,cđ kinh tế đối ngoại
